2, 20, 6.510260344891359E19, 2014-07-29 17:05:17, 2014-07-29 17:12:06, org.apache.spark.mllib.clustering.KMeansModel@49cb979a
101, 20, 1.60775901168047904E17, 2014-07-29 17:34:25, 2014-07-29 17:49:55, org.apache.spark.mllib.clustering.KMeansModel@3d0d377c
150, 20, 7.9115510333366384E16, 2014-07-29 17:49:55, 2014-07-29 18:10:19, org.apache.spark.mllib.clustering.KMeansModel@186d678
175, 20, 6.2529931901763872E16, 2014-07-29 18:10:19, 2014-07-29 18:31:29, org.apache.spark.mllib.clustering.KMeansModel@4e76c067
187, 20, 6.0266311272062624E16, 2014-07-29 18:31:29, 2014-07-29 18:53:31, org.apache.spark.mllib.clustering.KMeansModel@2bbb8367
193, 20, 5.211436658464636E16, 2014-07-29 18:53:31, 2014-07-29 19:15:51, org.apache.spark.mllib.clustering.KMeansModel@1d07f574
196, 20, 5.3400181288558096E16, 2014-07-29 19:15:51, 2014-07-29 19:38:07, org.apache.spark.mllib.clustering.KMeansModel@2d915eda
198, 20, 5.129050187553232E16, 2014-07-29 19:38:07, 2014-07-29 20:00:25, org.apache.spark.mllib.clustering.KMeansModel@497be6c0
199, 20, 4.9286738936063072E16, 2014-07-29 20:00:25, 2014-07-29 20:22:20, org.apache.spark.mllib.clustering.KMeansModel@68c32cf7
200, 20, 5.0481564040646616E16, 2014-07-29 17:12:06, 2014-07-29 17:34:25, org.apache.spark.mllib.clustering.KMeansModel@551aaaec
